"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3847","has title","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2364","has title","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2233","clicks the start forming button","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2658","clicks the start forming button","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2981","clicks the start forming button","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","3885","has title","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
