"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4265","clicks the start forming button","webkit","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","3598","has title","firefox","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","3099","has title","chromium","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2620","clicks the start forming button","firefox","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","8936","has title","webkit","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2742","clicks the start forming button","chromium","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
