"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3382","clicks the start forming button","webkit","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2502","clicks the start forming button","firefox","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2708","has title","chromium","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","3006","has title","firefox","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2696","clicks the start forming button","chromium","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","4242","has title","webkit","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
