"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3262","has title","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","12654","has title","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2804","clicks the start forming button","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","3327","clicks the start forming button","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","4389","has title","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","4028","clicks the start forming button","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
