"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2925","has title","firefox","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","4398","clicks the start forming button","webkit","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2285","clicks the start forming button","firefox","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2882","has title","chromium","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","2992","clicks the start forming button","chromium","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
"","7118","has title","webkit","2026-09-22","passed","2026-09-22","","example.spec.ts","",""
