"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3723","has title","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","3092","clicks the start forming button","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","3067","clicks the start forming button","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","7704","has title","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2967","clicks the start forming button","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2442","has title","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
