"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8725","has title","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2254","clicks the start forming button","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","3918","clicks the start forming button","webkit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2097","clicks the start forming button","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2663","has title","chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","3047","has title","firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
